id,Leader 1,Agent Name,Leader Name,Location,Calls Offered,Calls Not Answered,Calls Answered,Total Duration,Sentiment,Month Start Date,Transfers,Not Answered Rate,Met Not Answered Rate?,Agent Avg Duration,Met Sentiment Goal?
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,477,18,459,2385,48,2021-01-01,,0.03773584905660377,True,5.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,407,75,332,2035,12,2021-02-01,,0.18427518427518427,False,5.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,798,36,762,7182,59,2021-03-01,,0.045112781954887216,True,9.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,766,29,737,11490,38,2021-04-01,,0.037859007832898174,True,15.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,524,83,441,9432,50,2021-05-01,14,0.15839694656488548,False,18.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,467,35,432,3269,85,2021-06-01,25,0.07494646680942184,False,7.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,566,26,540,11320,44,2021-07-01,3,0.045936395759717315,True,20.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,641,60,581,1923,-78,2021-08-01,14,0.093603744149766,False,3.0,False
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,652,7,645,9780,61,2021-09-01,24,0.010736196319018405,True,15.0,True
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,928,87,841,7424,-66,2021-10-01,18,0.09375,False,8.0,False
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,855,13,842,3420,-50,2021-11-01,6,0.0152046783625731,True,4.0,False
1,5,"Cordi, Ellgood","Silvan, Gallardo",Halifax,431,9,422,8620,-19,2021-12-01,5,0.02088167053364269,True,20.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,440,9,431,5720,-15,2021-01-01,,0.020454545454545454,True,13.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,456,73,383,9576,-62,2021-02-01,,0.1600877192982456,False,21.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,807,12,795,9684,-89,2021-03-01,,0.01486988847583643,True,12.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,787,2,785,3148,-27,2021-04-01,,0.0025412960609911056,True,4.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,799,61,738,8789,-7,2021-05-01,18,0.07634543178973717,False,11.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,547,36,511,1641,-54,2021-06-01,25,0.06581352833638025,False,3.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,432,85,347,8640,29,2021-07-01,27,0.19675925925925927,False,20.0,True
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,703,0,703,2109,-78,2021-08-01,15,0.0,True,3.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,547,72,475,3282,76,2021-09-01,20,0.1316270566727605,False,6.0,True
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,579,24,555,2895,-61,2021-10-01,14,0.04145077720207254,True,5.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,755,24,731,9815,-42,2021-11-01,14,0.031788079470198675,True,13.0,False
2,6,"Oliy, Pochon","Olly, Maplesden",Truro,601,28,573,7212,91,2021-12-01,27,0.04658901830282862,True,12.0,True
3,6,"Orly, Girkins","Olly, Maplesden",Truro,514,1,513,2056,-25,2021-01-01,,0.0019455252918287938,True,4.0,False
3,6,"Orly, Girkins","Olly, Maplesden",Truro,887,40,847,14192,-100,2021-02-01,,0.04509582863585118,True,16.0,False
3,6,"Orly, Girkins","Olly, Maplesden",Truro,445,31,414,2225,20,2021-03-01,,0.0696629213483146,False,5.0,True
3,6,"Orly, Girkins","Olly, Maplesden",Truro,945,23,922,17955,80,2021-04-01,,0.02433862433862434,True,19.0,True
